word,sentence,pair,re-sentence
right,"All right Joey, be nice. So does he have a hump? A hump and a hairpiece?",correct,"All correct Joey, be nice. So does he have a hump? A hump and a hairpiece?"
middle,"Alright, so I'm back in high school, I'm standing in the middle of the cafeteria, and I realize I am totally naked.",center,"Alright, so I'm back in high school, I'm standing in the center of the cafeteria, and I realize I am totally naked."
answer,"Finally, I figure I'd better answer it, and it turns out it's my mother, which is very-very weird, because- she never calls me!",reply,"Finally, I figure I'd better reply it, and it turns out it's my mother, which is very-very weird, because- she never calls me!"
answer,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",reply,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the reply is?"
right,"Alright Ross, look. You're feeling a lot of pain right now. You're angry. You're hurting. Can I tell you what the answer is?",correct,"Alright Ross, look. You're feeling a lot of pain correct now. You're angry. You're hurting. Can I tell you what the answer is?"
big,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a big hammer said you might be here and you are, you are!",large,"Oh God Monica hi! Thank God! I just went to your building and you weren't there and then this guy with a large hammer said you might be here and you are, you are!"
big,"Now I'm guessing that he bought her the big pipe organ, and she's really not happy about it. ",large,"Now I'm guessing that he bought her the large pipe organ, and she's really not happy about it."
buy,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to buy me a hat, I'm saying I am a ha- It's a metaphor, Daddy!",purchase,"C'mon Daddy, listen to me! It's like, it's like, all of my life, everyone has always told me, 'You're a shoe! You're a shoe, you're a shoe, you're a shoe!'. And today I just stopped and I said, 'What if I don't wanna be a shoe? What if I wanna be a- a purse, y'know? Or a- or a hat! No, I'm not saying I want you to purchase me a hat, I'm saying I am a ha- It's a metaphor, Daddy!"
guess,"Well, I guess we've established who's staying here with Monica...",estimate,"Well, I estimate we've established who's staying here with Monica..."
guess,"Well, I guess we've established who's staying here with Monica...",speculate,"Well, I speculate we've established who's staying here with Monica..."
calm,"Just breathe, breathe.. that's it. Just try to think of nice calm things...",tranquil,"Just breathe, breathe.. that's it. Just try to think of nice tranquil things..."
control,"Okay, look, this is probably for the best, y'know? Independence. Taking control of your life. The whole, 'hat' thing.",command,"Okay, look, this is probably for the best, y'know? Independence. Taking command of your life. The whole, 'hat' thing."
rule,"What, like there's a rule or something?",govern,"What, like there's a govern or something?"
complain,"What does that mean?  Does he sell it, drink it, or just complain a lot? ",gripe,"What does that mean? Does he sell it, drink it, or just gripe a lot?"
right,"Okay, umm-umm, I'll just--I'll be right back, I just gotta go ah, go ah...",correct,"Okay, umm-umm, I'll just--I'll be correct back, I just gotta go ah, go ah..."
beautiful,It's a beautiful thing.,gorgeous,It's a gorgeous thing.
ask,"Ross, let me ask you a question. She got the furniture, the stereo, the good TV- what did you get?",inquire,"Ross, let me inquire you a question. She got the furniture, the stereo, the good TV- what did you get?"
clean,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how clean can teeth get?",tidy,"I know, I know, I'm such an idiot. I guess I should have caught on when she started going to the dentist four and five times a week. I mean, how tidy can teeth get?"
